EquipmentID,DateKey,ShiftID,PlannedProductionMinutes,DowntimeMinutes,IdealCycleTime,TotalCount,GoodCount
1001,20240101,1,480,23.2,0.532,734,701
1001,20240101,2,480,6.0,0.537,754,726
1001,20240101,3,480,4.8,0.589,729,704
1001,20240102,1,480,8.2,0.445,904,867
1001,20240102,2,480,18.9,0.895,504,491
1001,20240102,3,480,13.3,0.557,802,791
1001,20240103,1,480,21.1,0.848,492,485
1001,20240103,2,480,20.2,0.554,813,776
1001,20240103,3,480,24.9,0.785,500,491
1001,20240104,1,480,0.9,0.785,587,574
1001,20240104,2,480,21.4,0.449,907,880
1001,20240104,3,480,1.1,0.624,680,659
1001,20240105,1,480,10.6,0.84,496,492
1001,20240105,2,480,10.6,0.564,765,742
1001,20240105,3,480,6.4,0.651,633,612
1001,20240106,1,480,14.1,0.607,740,712
1001,20240106,2,480,24.2,0.792,567,561
1001,20240106,3,480,3.6,0.663,627,620
1001,20240107,1,480,14.6,0.532,857,818
1001,20240107,2,480,14.1,0.761,525,514
1001,20240107,3,480,20.4,0.434,976,939
1001,20240108,1,480,16.6,0.459,990,983
1001,20240108,2,480,4.6,0.562,788,776
1001,20240108,3,480,11.1,0.478,848,847
1001,20240109,1,480,11.4,0.836,514,511
1001,20240109,2,480,2.2,0.457,1024,1020
1001,20240109,3,480,7.9,0.578,746,723
1001,20240110,1,480,4.8,0.849,495,487
1001,20240110,2,480,1.7,0.419,1074,1038
1001,20240110,3,480,16.4,0.447,1019,1005
1001,20240111,1,480,21.9,0.468,875,847
1001,20240111,2,480,13.4,0.548,730,706
1001,20240111,3,480,6.4,0.593,700,673
1001,20240112,1,480,15.7,0.594,702,685
1001,20240112,2,480,19.3,0.589,729,727
1001,20240112,3,480,13.0,0.855,524,499
1001,20240113,1,480,10.7,0.749,619,601
1001,20240113,2,480,2.3,0.681,608,599
1001,20240113,3,480,12.7,0.762,595,583
1001,20240114,1,480,15.3,0.777,578,573
1001,20240114,2,480,0.9,0.678,622,617
1001,20240114,3,480,16.2,0.61,666,643
1001,20240115,1,480,17.6,0.502,795,789
1001,20240115,2,480,19.1,0.5,821,819
1001,20240115,3,480,17.7,0.705,585,564
1001,20240116,1,480,1.0,0.764,536,509
1001,20240116,2,480,18.2,0.874,505,491
1001,20240116,3,480,12.2,0.618,677,660
1001,20240117,1,480,10.8,0.699,654,653
1001,20240117,2,480,2.0,0.592,706,682
1001,20240117,3,480,7.2,0.487,929,905
1001,20240118,1,480,23.0,0.416,944,915
1001,20240118,2,480,2.0,0.531,889,853
1001,20240118,3,480,5.0,0.687,635,621
1001,20240119,1,480,9.4,0.813,503,488
1001,20240119,2,480,17.2,0.834,500,488
1001,20240119,3,480,1.7,0.485,847,834
1001,20240120,1,480,7.2,0.762,533,528
1001,20240120,2,480,20.9,0.444,882,840
1001,20240120,3,480,21.3,0.517,822,798
1001,20240121,1,480,19.9,0.644,657,655
1001,20240121,2,480,3.8,0.815,500,486
1001,20240121,3,480,22.2,0.733,590,568
1001,20240122,1,480,10.5,0.583,743,722
1001,20240122,2,480,8.2,0.553,755,730
1001,20240122,3,480,3.7,0.836,532,508
1001,20240123,1,480,17.3,0.824,495,473
1001,20240123,2,480,0.2,0.424,1082,1080
1001,20240123,3,480,1.1,0.774,532,520
1001,20240124,1,480,18.9,0.58,676,661
1001,20240124,2,480,24.8,0.529,754,720
1001,20240124,3,480,13.9,0.698,641,632
1001,20240125,1,480,22.3,0.803,504,492
1001,20240125,2,480,7.4,0.565,820,806
1001,20240125,3,480,24.4,0.608,693,674
1001,20240126,1,480,2.7,0.518,851,811
1001,20240126,2,480,23.3,0.462,867,856
1001,20240126,3,480,2.4,0.85,534,509
1001,20240127,1,480,17.3,0.716,617,611
1001,20240127,2,480,18.0,0.693,596,586
1001,20240127,3,480,23.9,0.694,619,601
1001,20240128,1,480,18.9,0.899,447,429
1001,20240128,2,480,13.5,0.641,676,643
1001,20240128,3,480,10.1,0.691,633,621
1001,20240129,1,480,18.0,0.721,615,603
1001,20240129,2,480,13.4,0.703,573,552
1001,20240129,3,480,13.2,0.836,527,502
1001,20240130,1,480,14.8,0.511,867,858
1001,20240130,2,480,14.8,0.696,599,582
1001,20240130,3,480,21.6,0.762,555,537
1001,20240131,1,480,1.3,0.472,889,860
1001,20240131,2,480,23.6,0.653,617,589
1001,20240131,3,480,8.5,0.808,527,520
1001,20240201,1,480,20.1,0.455,945,942
1001,20240201,2,480,10.1,0.425,1082,1074
1001,20240201,3,480,13.1,0.676,607,601
1001,20240202,1,480,12.5,0.417,1060,1056
1001,20240202,2,480,20.7,0.539,730,727
1001,20240202,3,480,23.4,0.666,644,626
1001,20240203,1,480,10.5,0.46,881,846
1001,20240203,2,480,20.9,0.473,855,835
1001,20240203,3,480,5.4,0.482,914,884
1001,20240204,1,480,15.7,0.856,472,469
1001,20240204,2,480,22.6,0.815,526,515
1001,20240204,3,480,16.0,0.745,530,528
1001,20240205,1,480,14.6,0.791,531,504
1001,20240205,2,480,12.7,0.654,651,629
1001,20240205,3,480,6.2,0.664,644,642
1001,20240206,1,480,4.3,0.56,757,739
1001,20240206,2,480,12.5,0.722,636,613
1001,20240206,3,480,17.3,0.413,993,965
1001,20240207,1,480,0.8,0.709,638,629
1001,20240207,2,480,12.9,0.702,602,573
1001,20240207,3,480,2.5,0.727,649,617
