EquipmentID,Date,Vibration_mms,BearingTemp_C,Pressure_bar
1001,2024-01-01,2.122,49.52,6.697
1001,2024-01-02,2.209,47.67,6.843
1001,2024-01-03,2.102,49.48,6.675
1001,2024-01-04,2.312,49.07,7.016
1001,2024-01-05,2.568,48.86,6.556
1001,2024-01-06,2.202,49.1,6.702
1001,2024-01-07,2.176,48.64,6.376
1001,2024-01-08,2.398,48.57,6.476
1001,2024-01-09,2.371,47.49,6.863
1001,2024-01-10,2.321,49.15,6.522
1001,2024-01-11,2.114,51.02,6.743
1001,2024-01-12,2.294,51.16,6.654
1001,2024-01-13,2.439,50.5,6.507
1001,2024-01-14,2.031,49.88,6.611
1001,2024-01-15,2.209,48.5,6.586
1001,2024-01-16,1.92,50.62,6.59
1001,2024-01-17,2.042,49.12,6.777
1001,2024-01-18,1.932,49.11,6.761
1001,2024-01-19,2.253,48.89,6.577
1001,2024-01-20,2.047,49.27,6.527
1001,2024-01-21,2.354,48.74,6.706
1001,2024-01-22,2.331,49.09,6.649
1001,2024-01-23,2.263,48.09,6.818
1001,2024-01-24,1.797,48.8,7.062
1001,2024-01-25,2.192,51.46,6.79
1001,2024-01-26,2.29,49.11,6.658
1001,2024-01-27,2.323,48.94,6.638
1001,2024-01-28,,,
1001,2024-01-29,2.205,49.89,6.528
1001,2024-01-30,2.104,48.06,6.513
1001,2024-01-31,2.138,48.97,6.604
1001,2024-02-01,2.512,50.1,6.599
1001,2024-02-02,2.139,49.45,6.775
1001,2024-02-03,2.294,49.3,6.604
1001,2024-02-04,2.477,50.73,6.634
1001,2024-02-05,2.183,48.5,6.481
1001,2024-02-06,2.278,49.26,6.91
1001,2024-02-07,2.322,48.66,6.74
1001,2024-02-08,2.313,50.67,6.932
1001,2024-02-09,2.055,47.23,6.783
1001,2024-02-10,2.315,48.51,6.887
1001,2024-02-11,2.572,48.65,6.626
1001,2024-02-12,1.991,49.84,6.771
1001,2024-02-13,2.472,49.78,7.069
1001,2024-02-14,2.324,50.57,6.48
1001,2024-02-15,2.172,47.6,6.84
1001,2024-02-16,2.7,49.93,6.918
1001,2024-02-17,2.453,48.88,6.727
1001,2024-02-18,2.06,48.51,6.778
1001,2024-02-19,2.315,49.72,6.855
1001,2024-02-20,2.415,48.26,6.563
1001,2024-02-21,2.262,47.1,6.726
1001,2024-02-22,2.437,48.81,6.53
1001,2024-02-23,2.287,47.68,6.56
1001,2024-02-24,2.434,48.53,6.569
1001,2024-02-25,2.588,49.55,6.642
1001,2024-02-26,2.165,49.49,6.686
1001,2024-02-27,2.341,50.76,6.733
