WorkOrderID,EquipmentID,FailureDate,RepairStartDate,RepairEndDate,MaintenanceTypeID,FailureModeID,LaborHours,Cost
50000,1001,2024-05-01 08:04:00,2024-05-01 13:04:00,2024-05-01 14:15:53.358509004,2,4,1.8,9887.59
50001,1001,2024-12-27 09:33:00,2024-12-27 17:33:00,2024-12-27 22:32:27.493465916,2,6,4.9,2416.38
50002,1002,2024-01-15 06:03:00,2024-01-15 15:03:00,2024-01-15 21:49:48.534768174,2,3,5.8,2925.47
50003,1002,2025-07-28 10:15:00,2025-07-28 11:15:00,2025-07-28 19:56:04.436811765,2,2,8.0,5670.61
50004,1002,2025-12-23 11:15:00,2025-12-23 18:15:00,2025-12-23 23:50:01.313423663,2,4,7.5,1384.46
50005,1002,2024-07-20 08:50:00,2024-07-20 14:50:00,2024-07-20 17:35:03.973532770,2,6,2.8,3210.99
50006,1002,2025-09-12 08:06:00,2025-09-12 13:06:00,2025-09-12 20:36:39.571753690,2,5,6.6,4282.69
50007,1002,2024-03-27 18:40:00,2024-03-27 22:40:00,2024-03-28 06:01:44.221397378,2,5,7.1,1123.66
50008,1003,2024-05-27 23:58:00,2024-05-28 10:58:00,2024-05-28 17:25:30.159212954,2,4,5.4,5814.45
50009,1003,2025-12-08 15:25:00,2025-12-09 02:25:00,2025-12-09 09:56:38.854288498,4,5,7.7,9478.47
50010,1003,2024-09-01 23:25:00,2024-09-02 07:25:00,2024-09-03 01:34:27.595415116,2,1,17.6,4675.03
50011,1003,2024-02-19 09:06:00,2024-02-19 19:06:00,2024-02-20 12:31:10.149773084,2,1,17.7,11106.32
50012,1004,2024-05-07 05:21:00,2024-05-07 08:21:00,2024-05-07 09:02:42.069970276,2,4,0.8,1431.67
50013,1004,2025-09-22 22:47:00,2025-09-23 07:47:00,2025-09-23 14:36:33.964908826,2,4,7.4,2476.18
50014,1004,2024-04-06 12:26:00,2024-04-06 18:26:00,,2,6,7.0,4122.23
50015,1005,2025-04-08 00:57:00,2025-04-08 09:57:00,2025-04-08 13:30:57.495978500,2,2,4.2,3754.52
50016,1005,2025-11-12 06:04:00,2025-11-12 16:04:00,2025-11-12 19:09:10.998291454,2,3,3.4,1884.51
50017,1005,2024-07-15 03:29:00,2024-07-15 06:29:00,2024-07-16 18:13:03.769374292,2,4,32.2,7124.51
50018,1005,2024-08-20 16:02:00,2024-08-20 20:02:00,2024-08-21 05:12:23.693984684,2,5,8.1,1122.69
50019,1005,2025-06-01 14:18:00,2025-06-01 15:18:00,2025-06-02 00:42:36.638991403,2,1,9.6,3680.41
50020,1005,2025-06-21 06:57:00,2025-06-21 16:57:00,2025-06-21 23:07:36.461078695,4,1,6.7,1150.94
50021,1005,2024-01-06 03:58:00,2024-01-06 08:58:00,2024-01-06 23:52:12.249863600,2,2,13.0,5664.62
50022,1006,2025-06-23 12:01:00,2025-06-23 14:01:00,2025-06-24 07:32:05.171434622,2,3,21.9,1931.6
50023,1006,2024-02-14 15:03:00,2024-02-14 17:03:00,2024-02-15 13:12:23.134938757,2,3,20.7,2194.0
50024,1006,2024-05-13 12:41:00,2024-05-13 20:41:00,2024-05-14 06:50:03.002082228,2,5,11.9,3111.47
50025,1006,2024-12-23 03:42:00,2024-12-23 11:42:00,2024-12-23 18:42:58.485815445,4,3,6.6,2442.43
50026,1006,2025-01-02 09:54:00,2025-01-02 19:54:00,2025-01-03 07:14:40.045925500,2,3,16.5,1327.24
50027,1006,2025-12-01 18:07:00,2025-12-02 05:07:00,2025-12-02 15:38:49.963869199,4,3,10.3,2315.71
50028,1006,2024-02-06 14:33:00,2024-02-06 16:33:00,2024-02-07 07:08:21.448978418,2,2,17.0,3103.99
50029,1006,2025-11-02 16:27:00,2025-11-03 01:27:00,2025-11-03 05:30:23.011043097,2,3,3.5,2199.52
50030,1006,2025-06-16 00:45:00,2025-06-16 05:45:00,2025-06-16 19:35:46.981157841,2,4,13.7,1836.24
50031,1006,2025-01-23 12:05:00,2025-01-23 16:05:00,2025-01-24 05:21:38.266115674,2,2,17.4,2531.38
50032,1006,2025-11-23 19:38:00,2025-11-24 06:38:00,2025-11-24 13:21:33.041308954,2,3,9.9,977.24
50033,1007,2024-01-24 15:16:00,2024-01-24 23:16:00,2024-01-25 00:36:36.902039856,2,3,1.5,1112.9
50034,1007,2025-01-11 08:30:00,2025-01-11 19:30:00,2025-01-12 00:00:54.501897711,2,2,6.8,2369.92
50035,1007,2024-04-09 15:54:00,2024-04-09 23:54:00,2024-04-10 09:41:44.248103581,2,5,13.2,1348.97
50036,1007,2024-01-11 15:18:00,2024-01-12 02:18:00,2024-01-12 08:22:40.500165532,2,1,8.3,1241.45
50037,1007,2024-07-29 02:14:00,2024-07-29 12:14:00,2024-07-29 17:32:03.925236078,2,4,7.4,645.42
50038,1007,2024-11-29 00:31:00,2024-11-29 03:31:00,2024-11-29 19:54:02.676585300,2,3,14.9,2927.44
50039,1008,2024-02-21 05:55:00,2024-02-21 12:55:00,2024-02-21 13:53:37.961050040,2,6,0.9,5372.24
50040,1008,2025-03-08 03:11:00,2025-03-08 09:11:00,2025-03-08 17:41:43.088007920,2,4,8.6,3969.81
50041,1008,2025-01-27 09:49:00,2025-01-27 17:49:00,2025-01-28 02:39:55.876078752,2,6,10.0,1770.86
50042,1008,2025-12-11 14:04:00,2025-12-11 16:04:00,2025-12-11 19:15:01.734361735,2,2,3.5,2703.77
50043,1008,2025-09-05 06:48:00,2025-09-05 09:48:00,2025-09-05 14:22:03.053258446,2,2,4.4,3601.59
50044,1009,2025-02-03 08:03:00,2025-02-03 16:03:00,2025-02-03 21:06:49.407337958,2,2,6.3,1493.34
